,Date,TweetURL,User,Source,Location,Tweet,Likes_Count,Retweet_Count,Quote_Count,Reply_Count
708,2022-06-21 07:55:01+00:00,https://twitter.com/_ADaniel02/status/1539154910897479680,_ADaniel02,Twitter for Android,"Osun, Nigeria",I have decided to try out Data Analysis track on #30DaysOfLearning. A long way to go but thank God it is all documented. 💃🏾,5,3,0,1
709,2022-06-21 05:13:20+00:00,https://twitter.com/akmahik/status/1539114220800946176,akmahik,Twitter for Android,"OAU, Ife, Nigeria","Completed my first data science activity (an exploratory data analysis using python) at 30days of Learning with Microsoft--data science and ML track.
https://t.co/uc5tmYmVTX
#30DaysOfLearning #DataScientist #Microsoft",1,0,0,0
710,2022-06-21 04:23:18+00:00,https://twitter.com/Favouremeka28/status/1539101629567356930,Favouremeka28,Twitter Web App,"Aba, Abia State. ","Learning never ends. thank you @TheOyinbooke , eveyone who has made my data analytics journey a smooth ride #NG30DaysOfLearning. COVID19 Dashboard using Excel https://t.co/uk75yhTb7M",5,0,0,0
711,2022-06-21 03:27:43+00:00,https://twitter.com/MichealOjuri/status/1539087642767376390,MichealOjuri,Twitter Web App,"Oyo, Nigeria","#30NGDaysOfLearning
#30DaysOfLearning
#Day4
#Microsoft 

""Build Stunning Dashboard with Power BI from the Click of a Button""

Anonymous: Did you know you can embed Microsoft Power BI Report directly into PowerPoint? 
Until yesterday, my answer would be ""no"".

Power BI is cool!😌",0,0,0,0
712,2022-06-21 03:15:46+00:00,https://twitter.com/OlaitanHazeem1/status/1539084636139278343,OlaitanHazeem1,Twitter for Android,,"Today I earned my ""Get data with Power BI Desktop"" badge! I’m so proud to be celebrating this achievement and hope this inspires you to start your own @MicrosoftLearn journey!
#NG30DaysOfLearning

 https://t.co/4yV33Ay9k7 #MSLearnBadge",0,0,0,0
713,2022-06-21 02:01:32+00:00,https://twitter.com/datacyborg/status/1539065955518758912,datacyborg,Twitter for iPhone,,#30DaysOfLearning has me up by 03:01am creating dashboards and I love it!! https://t.co/iWouR8sFbD,16,1,0,1
714,2022-06-21 01:46:26+00:00,https://twitter.com/XxCorderoJones/status/1539062154862600192,XxCorderoJones,Twitter for iPhone,,"This Is Why You Have Sore Muscles Two Days After You Work Out

https://t.co/r7x7GPzUyH

#30DaysOfLearning #gayfit #bodyodyody #anabolic #weightlifting #biking #muscles https://t.co/BFrRGnG3qU",0,0,0,0
715,2022-06-21 01:02:18+00:00,https://twitter.com/iamAbiola_Great/status/1539051047838175239,iamAbiola_Great,Twitter Web App,Nigeria,"https://t.co/dlPr24XkIT

#NG30DaysOfLearning 
@TheOyinbooke",2,0,0,0
716,2022-06-21 00:11:25+00:00,https://twitter.com/debunmiT/status/1539038243764719617,debunmiT,Twitter for Android,,"2 days ago, I put out the dashboard I created from what I learnt in day 3 of #NG30DaysOfLearning. I tagged the masters in the field to help review. 
I had to do some corrections and here is the final work @addy_xls
@jessica_xls 
#DataAnalytics #COVID19 

https://t.co/mxvN3fQFri https://t.co/XHM3rhj1lf",12,3,0,4
717,2022-06-20 23:55:56+00:00,https://twitter.com/datacyborg/status/1539034344110555136,datacyborg,Twitter for iPhone,,Check out techgirlintransit's @TheOyinbooke #30DaysOfLearning #TikTok https://t.co/p6D5kpFAwC,1,0,0,0
